"gene;AN;origin;antibiotic"
"Metallo-beta-lactamase_L1_type_3;KJ692174.1;grassland_soil;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;KJ692177.1;grassland_soil;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;KJ692178.1;grassland_soil;CAZ"
"D-alanine--D-alanine_ligase_B;KJ692180.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase_B;KJ692183.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase_B;KJ692201.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase;KJ692204.1;grassland_soil;CYC"
"putative_beta-lactamase_YbxI;KJ692214.1;grassland_soil;PIP"
"Dihydrofolate_reductase;KJ692224.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692226.1;grassland_soil;TMP"
"D-alanine--D-alanine_ligase_B;KJ692234.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase_B;KJ692235.1;grassland_soil;CYC"
"Dihydrofolate_reductase;KJ692244.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692250.1;grassland_soil;TMP"
"Beta-lactamase_OXA-10;KJ692254.1;grassland_soil;PEN"
"Dihydrofolate_reductase_type_3;KJ692261.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_1_from;KJ692271.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692272.1;grassland_soil;TMP"
"D-alanine--D-alanine_ligase;KJ692275.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase_B;KJ692280.1;grassland_soil;CYC"
"Dihydrofolate_reductase;KJ692286.1;grassland_soil;TMP"
"Tetracycline_resistance_protein%2C_class_C;KJ692292.1;grassland_soil;TET"
"Tetracycline_resistance_protein%2C_class_C;KJ692293.1;grassland_soil;TET"
"Tetracycline_resistance_protein%2C_class_C;KJ692296.1;grassland_soil;TET"
"Tetracycline_resistance_protein%2C_class_C;KJ692297.1;grassland_soil;TET"
"Dihydrofolate_reductase;KJ692320.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692321.1;grassland_soil;TMP"
"D-alanine--D-alanine_ligase;KJ692328.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase_A;KJ692329.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase;KJ692331.1;grassland_soil;CYC"
"putative_beta-lactamase_YbxI;KJ692341.1;grassland_soil;ATM"
"putative_beta-lactamase_YbxI;KJ692342.1;grassland_soil;ATM"
"putative_beta-lactamase_YbxI;KJ692343.1;grassland_soil;ATM"
"Extended-spectrum_beta-lactamase_PER-1;KJ692345.1;grassland_soil;CAZ"
"Metallo-beta-lactamase_L1_type_3;KJ692346.1;grassland_soil;CAZ"
"Beta-lactamase_OXA-10;KJ692348.1;grassland_soil;ATM"
"putative_beta-lactamase_YbxI;KJ692349.1;grassland_soil;ATM"
"Extended-spectrum_beta-lactamase_PER-1;KJ692353.1;grassland_soil;ATM"
"Dihydrofolate_reductase;KJ692376.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692378.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692379.1;grassland_soil;TMP"
"Beta-lactamase_OXA-10;KJ692398.1;grassland_soil;PEN"
"Dihydrofolate_reductase;KJ692402.1;grassland_soil;TMP"
"D-alanine--D-alanine_ligase;KJ692407.1;grassland_soil;CYC"
"Dihydrofolate_reductase;KJ692427.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692428.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692432.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692439.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692440.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692458.1;grassland_soil;TMP"
"Metallo-beta-lactamase_type_2;KJ692465.1;grassland_soil;CAZ"
"Dihydrofolate_reductase;KJ692494.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692500.1;grassland_soil;TMP"
"Tetracycline_resistance_protein%2C_class_C;KJ692506.1;grassland_soil;TET"
"Tetracycline_resistance_protein%2C_class_C;KJ692507.1;grassland_soil;TET"
"Beta-lactamase;KJ692539.1;grassland_soil;PIP"
"D-alanine--D-alanine_ligase_B;KJ692549.1;grassland_soil;CYC"
"Extended-spectrum_beta-lactamase_PER-1;KJ692567.1;grassland_soil;PIP"
"Dihydrofolate_reductase_type_3;KJ692570.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692572.1;grassland_soil;TMP"
"Gentamicin_3-N-acetyltransferase;KJ692598.1;grassland_soil;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;KJ692599.1;grassland_soil;GEN"
"Dihydrofolate_reductase;KJ692601.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692609.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ692611.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ692618.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_1_from;KJ692644.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ692648.1;grassland_soil;SXT"
"Beta-lactamase;KJ692663.1;grassland_soil;PEN"
"Dihydrofolate_reductase;KJ692675.1;grassland_soil;TMP"
"Tetracycline_resistance_protein%2C_class_C;KJ692682.1;grassland_soil;TET"
"Dihydrofolate_reductase_type_3;KJ692688.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692690.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692692.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692697.1;grassland_soil;TMP"
