gmgc_id;family;ARG-ANNOT;CARD;NCBI;ResFinder;ResFinderFG
GMGC10.001_133_241.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_143_956.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.001_163_194.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_179_853.RPOB;rifampicin;0;1;0;0;0
GMGC10.001_221_830.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_245_901.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_307_214.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_318_636.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_327_883.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_366_532.STRA;aminoside;1;1;1;1;0
GMGC10.001_384_115.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.001_414_797.ILES;mupirocin;0;1;0;0;0
GMGC10.001_459_494.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_473_243.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_474_482.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_490_392.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_589_018.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_598_106.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_605_977.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_735_830.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_760_058.UNKNOWN;MLS;1;1;1;0;0
GMGC10.001_771_357.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_872_886.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_897_442.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_913_016.UNKNOWN;MLS;1;0;1;1;0
GMGC10.001_950_536.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_965_233.UNKNOWN;aminoside;1;1;1;1;0
GMGC10.001_981_819.MEXF;Multidrug_efflux;0;1;0;0;0
GMGC10.001_983_519.AADA;aminoside;1;0;0;0;0
GMGC10.002_004_514.AADA;aminoside;1;0;0;0;0
GMGC10.002_049_105.VEXA;Multidrug_efflux;0;1;0;0;0
GMGC10.002_062_288.NEO;aminoside;1;1;0;1;0
GMGC10.002_067_261.QSEC;peptide;0;1;0;0;0
GMGC10.002_068_128.UNKNOWN;aminoside;0;1;1;0;1
GMGC10.002_068_661.UNKNOWN;fosfomycin;0;1;1;1;0
GMGC10.002_070_933.VEXA;Multidrug_efflux;0;1;0;0;0
GMGC10.002_072_333.VEXA;Multidrug_efflux;0;1;0;0;0
GMGC10.002_072_504.YBXI;blactamase;1;1;1;1;0
GMGC10.002_072_838.NEO;aminoside;1;1;1;1;0
GMGC10.002_075_775.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_076_563.BMUL_3932;Multidrug_efflux;0;1;0;0;0
GMGC10.002_088_519.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.002_117_590.UNKNOWN;MLS;1;0;1;1;0
GMGC10.002_236_046.TETR;cycline;1;0;0;0;1
GMGC10.002_269_981.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_278_096.UNKNOWN;Multidrug_efflux;0;1;0;0;0
GMGC10.002_282_021.FOSB;fosfomycin;1;1;1;1;0
GMGC10.002_305_685.RV0906;blactamase;1;0;0;0;0
GMGC10.002_305_691.TETX;cycline;1;1;1;1;0
GMGC10.002_310_325.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_321_817.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_332_978.BMUL_5987;fosfomycin;0;1;0;0;0
GMGC10.002_342_019.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_347_984.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_367_614.EVGS;Multidrug_efflux;0;1;0;0;0
GMGC10.002_375_744.QNR;quinolone;0;1;1;1;0
GMGC10.002_395_947.EPTA;peptide;1;1;1;1;0
GMGC10.002_398_474.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.002_425_308.FOLA;Sulfonamide/trimethoprim;0;1;1;1;0
GMGC10.002_443_821.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_470_057.TETA;cycline;1;1;1;1;1
GMGC10.002_473_343.UNKNOWN;blactamase;1;1;0;1;1
GMGC10.002_525_975.OXA;blactamase;1;1;0;1;1
GMGC10.002_573_592.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_584_830.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_591_786.MDTI;Multidrug_efflux;0;1;0;0;0
GMGC10.002_715_033.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.002_729_207.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_743_408.YBXI;blactamase;1;1;1;1;0
GMGC10.002_798_205.SMVA;MLS;0;1;0;0;0
GMGC10.002_886_189.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_897_435.TETP;cycline;1;1;1;1;1
GMGC10.002_915_996.ILES;mupirocin;0;1;0;0;0
GMGC10.002_952_607.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_959_434.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.002_998_033.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_009_923.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.003_028_303.AMPH;blactamase;1;1;1;1;1
GMGC10.003_038_248.ENVR;Multidrug_efflux;0;1;0;0;0
GMGC10.003_324_132.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_338_964.RPOB;rifampicin;0;1;0;0;0
GMGC10.003_477_904.MEXF;Multidrug_efflux;0;1;0;0;0
GMGC10.003_501_784.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.003_502_471.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.003_515_008.OPRM;Multidrug_efflux;0;1;0;0;0
GMGC10.003_527_394.URAA;aminoside;0;1;0;0;0
GMGC10.003_538_368.MEXE;Multidrug_efflux;0;1;0;0;0
GMGC10.003_559_123.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_632_590.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_667_864.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_669_319.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_675_502.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_686_009.AMPC;blactamase;1;1;1;1;1
GMGC10.003_686_042.MEXF;Multidrug_efflux;1;1;1;1;0
GMGC10.003_686_337.CPXA;aminoside;0;1;0;0;0
GMGC10.003_686_410.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_689_877.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_710_263.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_718_203.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_757_209.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_774_957.MRDA;blactam_non_enz;1;0;0;0;0
GMGC10.003_775_085.TOLC;Multidrug_efflux;0;1;0;0;0
GMGC10.003_783_624.ACRD;aminoside;0;1;0;0;0
GMGC10.003_787_268.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_803_236.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.003_803_237.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.003_805_675.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_815_471.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.003_821_159.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.003_882_350.AMPC;blactamase;1;1;1;0;1
GMGC10.003_891_281.UPPP;peptide;0;1;0;0;0
GMGC10.003_896_929.MEXF;Multidrug_efflux;1;1;1;1;0
GMGC10.003_897_748.UPPP;peptide;0;1;0;0;0
GMGC10.003_897_821.AMPC;blactamase;1;1;1;1;1
GMGC10.003_898_011.ACRA;Multidrug_efflux;0;1;0;0;0
GMGC10.003_898_013.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.003_898_619.BAER;aminoside;0;1;0;0;0
GMGC10.003_898_620.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.003_899_105.MSBA;nitroimidazole;0;1;0;0;0
GMGC10.003_900_468.AMPC;blactamase;1;1;1;1;1
GMGC10.003_901_409.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_937_236.ILES;mupirocin;0;1;0;0;0
GMGC10.003_943_124.BAES;aminoside;0;1;0;0;0
GMGC10.003_948_773.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_950_502.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_958_212.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.003_992_254.TETA;cycline;1;1;1;0;0
GMGC10.004_016_134.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_032_252.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_059_763.MARA;Multidrug_efflux;0;1;0;0;0
GMGC10.004_070_023.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_072_089.UPPP;peptide;0;1;0;0;0
GMGC10.004_074_454.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_081_499.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_083_558.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_102_968.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_116_375.AACA7;aminoside;0;0;0;0;1
GMGC10.004_116_919.TETP;cycline;1;1;1;1;1
GMGC10.004_129_448.AACA7;aminoside;0;0;0;0;1
GMGC10.004_150_673.LMRD;quinolone;0;1;0;0;0
GMGC10.004_150_996.MDTG;quinolone;0;1;0;0;0
GMGC10.004_151_114.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.004_151_729.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.004_159_185.RRMA;MLS;0;1;0;0;0
GMGC10.004_160_727.LMRD;quinolone;0;1;0;0;0
GMGC10.004_166_202.RRMA;MLS;0;1;0;0;0
GMGC10.004_166_206.LMRC;quinolone;0;1;0;0;0
GMGC10.004_167_325.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.004_167_968.MDTG;quinolone;0;1;0;0;0
GMGC10.004_181_661.BAER;Multidrug_efflux;0;1;0;0;0
GMGC10.004_192_507.AACA-APHD;aminoside;1;1;1;1;1
GMGC10.004_208_815.LMRC;quinolone;0;1;0;0;0
GMGC10.004_215_769.PBP1A;blactam_non_enz;1;0;0;0;0
GMGC10.004_217_650.YHEH;cycline;0;1;1;1;0
GMGC10.004_221_964.MDLB;cycline;0;1;1;1;0
GMGC10.004_246_576.RRMA;MLS;0;1;0;0;0
GMGC10.004_266_493.PBP1B;blactam_non_enz;1;0;0;0;0
GMGC10.004_283_760.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_295_138.LMRC;quinolone;0;1;0;0;0
GMGC10.004_302_795.TNPCX;aminoside;0;0;1;1;0
GMGC10.004_317_300.SFLR;phenicol;1;1;1;1;1
GMGC10.004_391_941.EMRR;Multidrug_efflux;0;1;0;0;0
GMGC10.004_416_135.CMEA;Multidrug_efflux;0;1;0;0;0
GMGC10.004_419_796.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.004_419_797.CMER;Multidrug_efflux;0;1;0;0;0
GMGC10.004_420_096.CMEA;Multidrug_efflux;0;1;0;0;0
GMGC10.004_432_995.UNKNOWN;blactamase;0;1;1;1;0
GMGC10.004_443_699.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.004_451_260.BLAI;blactamase;1;0;1;0;0
GMGC10.004_455_853.TETP;cycline;1;1;1;1;1
GMGC10.004_456_653.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.004_491_233.LSA;MLS;0;0;1;1;0
GMGC10.004_548_102.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_549_121.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.004_549_334.MSBA;nitroimidazole;0;1;0;0;0
GMGC10.004_549_787.EMRB;quinolone;0;1;0;0;0
GMGC10.004_657_955.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_682_741.MDTG;quinolone;0;1;0;0;0
GMGC10.004_709_186.UNKNOWN;Disinfecting_agents_and_antiseptics;0;1;0;0;0
GMGC10.004_729_127.ILES;mupirocin;0;1;0;0;0
GMGC10.004_750_219.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.004_771_299.AMRA;Multidrug_efflux;0;1;0;0;0
GMGC10.004_788_363.MEXF;Multidrug_efflux;1;1;1;1;0
GMGC10.004_867_643.ILES;mupirocin;0;1;0;0;0
GMGC10.004_873_956.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.004_890_311.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.004_891_410.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.004_935_650.QNR;quinolone;1;1;1;1;0
GMGC10.004_987_887.UNKNOWN;MLS;1;1;1;1;0
GMGC10.005_062_719.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.005_093_290.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.005_160_165.TETP;cycline;1;1;1;1;1
GMGC10.005_193_550.CPXR;Multidrug_efflux;0;1;0;0;0
GMGC10.005_194_445.YEGN;Multidrug_efflux;0;1;0;0;0
GMGC10.005_198_440.MEXC;Multidrug_efflux;0;1;0;0;0
GMGC10.005_199_536.MEXF;Multidrug_efflux;0;1;0;0;0
GMGC10.005_205_226.MEXD;Multidrug_efflux;0;1;0;0;0
GMGC10.005_320_655.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_321_079.HYFJ;MLS;0;1;0;0;0
GMGC10.005_322_488.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_332_820.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.005_376_055.ILES;mupirocin;0;1;0;0;0
GMGC10.005_431_426.SMVA;MLS;0;1;0;0;0
GMGC10.005_515_861.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.005_617_870.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_644_973.TOLC;Disinfecting_agents_and_antiseptics;0;1;0;0;0
GMGC10.005_714_958.CPHA;blactamase;0;0;0;0;1
GMGC10.005_727_449.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_728_443.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_731_876.CMEC;Multidrug_efflux;0;1;0;0;0
GMGC10.005_777_180.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_777_491.CMEC;Multidrug_efflux;0;1;0;0;0
GMGC10.005_778_235.EPTA;peptide;0;1;0;0;0
GMGC10.005_821_613.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.005_875_846.MEXF;Multidrug_efflux;1;1;1;1;0
GMGC10.005_882_279.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.005_882_280.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.005_923_584.MDTK;Multidrug_efflux;0;1;0;0;0
GMGC10.005_938_068.YBXI;blactamase;1;1;0;1;1
GMGC10.005_961_425.CMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.006_124_878.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.006_167_283.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.006_258_444.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.006_422_551.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.006_524_561.MEXF;Multidrug_efflux;1;1;1;1;0
GMGC10.006_565_390.NEO;aminoside;1;1;1;0;0
GMGC10.006_651_382.PPS;rifampicin;1;1;1;0;0
GMGC10.006_772_118.ACRA;Multidrug_efflux;0;1;0;0;0
GMGC10.006_772_119.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.006_773_252.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.007_137_974.MSBA;nitroimidazole;0;1;0;0;0
GMGC10.007_141_528.UGD;peptide;0;1;0;0;0
GMGC10.007_162_725.AADA;aminoside;1;0;1;1;1
GMGC10.007_165_657.TETA;cycline;1;1;1;1;1
GMGC10.007_169_066.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.007_188_445.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.007_258_329.UNKNOWN;aminoside;1;1;1;1;1
GMGC10.007_370_168.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.007_395_391.MARA;Multidrug_efflux;0;1;0;0;0
GMGC10.007_402_584.EMRR;Multidrug_efflux;0;1;0;0;0
GMGC10.007_402_585.EMRB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_404_088.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_463_154.MSBA;nitroimidazole;0;1;0;0;0
GMGC10.007_463_324.HNS;Multidrug_efflux;0;1;0;0;0
GMGC10.007_463_382.KDPE;aminoside;0;1;0;0;0
GMGC10.007_463_409.MRDA;blactam_non_enz;1;0;0;0;0
GMGC10.007_463_495.ACRA;Multidrug_efflux;0;1;0;0;0
GMGC10.007_463_496.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_463_762.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_463_764.ENVR;Multidrug_efflux;0;1;0;0;0
GMGC10.007_463_866.UPPP;peptide;0;1;0;0;0
GMGC10.007_463_881.TOLC;Multidrug_efflux;0;1;0;0;0
GMGC10.007_464_069.EMRA;quinolone;0;1;0;0;0
GMGC10.007_464_070.EMRB;quinolone;0;1;0;0;0
GMGC10.007_464_410.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.007_464_731.MDTO;Multidrug_efflux;0;1;0;0;0
GMGC10.007_464_732.MDTN;Multidrug_efflux;0;1;0;0;0
GMGC10.007_464_743.EPTA;peptide;0;1;0;0;0
GMGC10.007_464_970.YFEW;blactamase;1;1;0;0;0
GMGC10.007_465_057.ARNC;peptide;0;1;0;0;0
GMGC10.007_465_085.YOJI;peptide;0;1;0;0;0
GMGC10.007_465_187.BAES;aminoside;0;1;0;0;0
GMGC10.007_465_189.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.007_465_190.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_465_191.MDTA;Multidrug_efflux;0;1;0;0;0
GMGC10.007_465_493.MDTE;Multidrug_efflux;0;1;0;0;0
GMGC10.007_574_347.MSBA;nitroimidazole;0;1;0;0;0
GMGC10.007_574_667.CPXA;aminoside;0;1;0;0;0
GMGC10.007_574_764.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_575_022.ACRD;aminoside;0;1;0;0;0
GMGC10.007_575_255.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.007_576_056.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.007_576_079.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.007_603_959.ILES;mupirocin;0;1;0;0;0
GMGC10.007_604_143.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.007_604_708.ILES;mupirocin;0;1;0;0;0
GMGC10.007_612_267.ILES;mupirocin;0;1;0;0;0
GMGC10.007_613_115.AMPC;blactamase;1;1;1;1;1
GMGC10.007_614_900.ARNC;peptide;0;1;0;0;0
GMGC10.007_615_177.ACRD;aminoside;0;1;0;0;0
GMGC10.007_615_374.EMRB;quinolone;0;1;0;0;0
GMGC10.007_615_899.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.007_615_958.YOJI;peptide;0;1;0;0;0
GMGC10.007_616_059.AMPH;blactamase;1;1;0;0;0
GMGC10.007_616_061.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.007_616_099.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_616_158.MRDA;blactam_non_enz;1;0;0;0;0
GMGC10.007_616_289.MSBA;nitroimidazole;0;1;0;0;0
GMGC10.007_657_999.ERMA;MLS;1;1;1;1;0
GMGC10.007_669_314.TETA;cycline;1;1;1;1;1
GMGC10.007_681_315.TETA;cycline;1;1;1;1;0
GMGC10.007_772_606.EMRA;Multidrug_efflux;0;1;0;0;0
GMGC10.007_772_754.MRDA;blactam_non_enz;1;0;0;0;0
GMGC10.007_784_882.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.007_784_903.RAMA;Multidrug_efflux;0;1;0;0;0
GMGC10.007_812_058.QSEC;peptide;0;1;0;0;0
GMGC10.007_849_478.YEGN;Multidrug_efflux;0;1;0;0;0
GMGC10.007_849_493.ACRB;Multidrug_efflux;0;1;0;0;0
GMGC10.007_860_052.AMPC;blactamase;1;1;1;1;1
GMGC10.007_907_344.MEXF;Multidrug_efflux;0;1;0;0;0
GMGC10.007_928_536.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.008_019_857.MEXF;Multidrug_efflux;0;1;0;0;0
GMGC10.008_038_500.PBP1A;blactam_non_enz;1;0;0;0;0
GMGC10.008_186_086.RPOB;rifampicin;0;1;0;0;0
GMGC10.008_204_874.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.008_222_153.SCLAV_1890;MLS;0;1;0;1;0
GMGC10.008_248_238.AMPH;blactamase;1;0;0;0;0
GMGC10.008_248_544.EMRB;quinolone;0;1;0;0;0
GMGC10.008_251_331.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.008_293_759.LMRA;Multidrug_efflux;0;1;0;0;0
GMGC10.008_323_280.UNKNOWN;aminoside;0;1;1;0;1
GMGC10.008_335_189.TETA;cycline;1;1;1;1;1
GMGC10.008_338_531.BAES;Multidrug_efflux;0;1;0;0;0
GMGC10.008_338_532.EEFA;Multidrug_efflux;0;1;0;0;0
GMGC10.008_338_667.ACRA;Multidrug_efflux;0;1;0;0;0
GMGC10.008_377_171.ILES;mupirocin;0;1;0;0;0
GMGC10.008_403_661.SMEB;Multidrug_efflux;0;1;0;0;0
GMGC10.008_426_515.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.008_465_355.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.008_466_831.CPXA;aminoside;0;1;0;0;0
GMGC10.008_467_155.BAER;aminoside;0;1;0;0;0
GMGC10.008_508_088.ACRD;aminoside;0;1;0;0;0
GMGC10.008_508_364.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.008_554_385.PBP1B;blactam_non_enz;1;0;0;0;0
GMGC10.008_640_023.MDTB;Multidrug_efflux;0;1;0;0;0
GMGC10.008_697_088.QNR;quinolone;1;1;1;1;1
GMGC10.008_697_339.AMPH;blactamase;1;1;0;0;0
GMGC10.008_697_622.TOLC;Multidrug_efflux;0;1;0;0;0
GMGC10.008_697_674.EMRB;quinolone;0;1;0;0;0
GMGC10.008_716_199.FOSB;fosfomycin;0;1;1;1;0
GMGC10.008_738_752.AACA7;aminoside;1;1;0;1;0
GMGC10.008_741_437.FOLP;Sulfonamide/trimethoprim;1;1;1;0;1
GMGC10.008_744_908.ACRD;aminoside;0;1;0;0;0
GMGC10.008_753_367.SFLR;phenicol;1;1;1;1;0
GMGC10.008_781_989.COPA;Multidrug_efflux;0;1;0;0;0
GMGC10.008_793_330.TOLC;Multidrug_efflux;0;1;0;0;0
GMGC10.008_794_781.YEEO;Multidrug_efflux;0;1;0;0;0
GMGC10.008_796_190.MRDA;blactam_non_enz;1;0;0;0;0
GMGC10.008_797_377.YOJI;peptide;0;1;0;0;0
GMGC10.008_803_393.FOSB;fosfomycin;1;1;1;1;0
GMGC10.008_804_982.CPXA;aminoside;0;1;0;0;0
GMGC10.008_805_942.EMRB;quinolone;0;1;0;0;0
GMGC10.008_805_951.TOLC;Multidrug_efflux;0;1;0;0;0
GMGC10.008_806_204.MDTC;Multidrug_efflux;0;1;0;0;0
GMGC10.008_806_786.OPRM;Multidrug_efflux;0;1;0;0;0
GMGC10.008_822_727.AADA;aminoside;0;1;1;1;1
GMGC10.008_832_248.HNS;Multidrug_efflux;0;1;0;0;0
GMGC10.008_834_211.OPRM;Multidrug_efflux;0;1;0;0;0
GMGC10.008_834_997.KDPE;aminoside;0;1;0;0;0
GMGC10.008_869_607.AACA7;aminoside;1;1;0;1;0
