GMGC_id;db;seq_id;gene;family
GMGC10.000_477_742.TETA;CARD;99.82;TetG is a tetracycline efflux protein found in Gram-negative bacteria. The encoding gene is found in both chromosomal and plasmid DNA where it is frequently linked to the floR sul1 and cmlA9 genes which encode proteins that can confer florfenicol/chloramphenicol sulfamethoxazole and chloramphenicol resistance respectively.;cycline
GMGC10.000_477_742.TETA;NCBI;99.82;tetracycline efflux MFS transporter Tet(G);cycline
GMGC10.000_477_742.TETA;ResFinder;99.82;tet(G);cycline
GMGC10.000_477_742.TETA;ResFinderFG;94.12;"Tetracycline resistance protein%2C class C""|KU547751.1|latrine|TET";cycline
GMGC10.000_484_858.FOLA;ResFinderFG;85.77;"Dihydrofolate reductase""|KX126918.1|newborn_gut|TMP";Sulfonamide/trimethoprim
GMGC10.000_501_116.DDL;ResFinderFG;84.25;"D-alanine--D-alanine ligase""|KF630276.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_507_290.DDL;ResFinderFG;87.18;"D-alanine--D-alanine ligase""|KX127225.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_544_401.UNKNOWN;ResFinderFG;88.06;"Extended-spectrum beta-lactamase PER-1""|KF628363.1|pediatric_fecal_sample|PEN";blactamase
GMGC10.000_553_065.FOLA;ResFinderFG;86.84;"Dihydrofolate reductase""|KX126575.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_585_584.CRP;CARD;99.53;emrE;Multidrug_efflux
GMGC10.000_674_138.FOLA;ResFinderFG;80.98;"Dihydrofolate reductase""|KF627688.1|pediatric_fecal_sample|TMP";Sulfonamide/trimethoprim
GMGC10.000_683_670.DDL;ResFinderFG;84.01;"D-alanine--D-alanine ligase B""|KX125727.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_764_548.DDL;ResFinderFG;99.57;"D-alanine--D-alanine ligase""|KX127173.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_765_256.FOLA;ResFinderFG;87.65;"Dihydrofolate reductase""|KX126869.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_765_555.FOLA;ResFinderFG;99.39;"Dihydrofolate reductase""|KX127078.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_770_188.TETP;ARG-ANNOT;86.36;(Tet)tet(44);cycline
GMGC10.000_770_188.TETP;CARD;86.36;Tet44 is a tetracycline resistance gene found in Campylobacter fetus and binds to the ribosome to confer antibiotic resistance as a ribosomal protection protein.;cycline
GMGC10.000_770_188.TETP;NCBI;86.62;tetracycline resistance ribosomal protection protein Tet(44);cycline
GMGC10.000_770_188.TETP;ResFinder;86.62;tet(44);cycline
GMGC10.000_795_351.FOLA;ResFinderFG;99.18;"Dihydrofolate reductase""|KX126575.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_800_242.DDL;ResFinderFG;89.04;"D-alanine--D-alanine ligase B""|KX125727.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_818_031.DDL;ResFinderFG;82.11;"D-alanine--D-alanine ligase A""|KF629052.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_906_193.FOLA;ResFinderFG;82.51;"Dihydrofolate reductase""|KX125671.1|newborn_gut|TMP";Sulfonamide/trimethoprim
GMGC10.000_976_812.DDL;ResFinderFG;84.38;"D-alanine--D-alanine ligase""|KF630276.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_988_091.FOLA;ResFinderFG;80.37;"Dihydrofolate reductase""|KF626842.1|pediatric_fecal_sample|TMP";Sulfonamide/trimethoprim
GMGC10.001_016_570.DDL;ResFinderFG;86.66;"D-alanine--D-alanine ligase""|KX125744.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_032_111.UNKNOWN;ARG-ANNOT;95.81;(MLS)mef(A);MLS
GMGC10.001_032_111.UNKNOWN;CARD;95.81;Mel a homolog of MsrA is an ABC-F subfamily protein associated with macrolide resistance. It is expressed on the same operon as mefA and mefE both MFS-type efflux proteins that confer macrolide resistance.;MLS
GMGC10.001_032_111.UNKNOWN;NCBI;97.72;macrolide efflux MFS transporter Mef(A);MLS
GMGC10.001_032_111.UNKNOWN;ResFinder;95.81;mef(A);MLS
GMGC10.001_119_546.DDL;ResFinderFG;84.4;"D-alanine--D-alanine ligase""|KX128226.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_133_241.FOLA;ResFinderFG;82.09;"Dihydrofolate reductase""|KX126575.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.001_143_956.CRP;CARD;99.53;emrE;Multidrug_efflux
GMGC10.001_163_194.DDL;ResFinderFG;86.84;"D-alanine--D-alanine ligase""|KF629618.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.001_179_853.RPOB;CARD;87.78;Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF.;rifampicin
GMGC10.001_221_830.FOLA;ResFinderFG;81.74;"Dihydrofolate reductase""|KF626890.1|pediatric_fecal_sample|TMP";Sulfonamide/trimethoprim
GMGC10.001_245_901.DDL;ResFinderFG;88.19;"D-alanine--D-alanine ligase B""|KX125727.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_307_214.DDL;ResFinderFG;99.16;"Vancomycin C-type resistance protein VanC""|GQ343082.1|human fecal matter|CYC";Glycopeptide/Cycloserine
GMGC10.001_318_636.FOLA;ResFinderFG;87.16;"Dihydrofolate reductase""|KX126740.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.001_327_883.DDL;ResFinderFG;86.27;"D-alanine--D-alanine ligase""|KF628560.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.001_366_532.STRA;ARG-ANNOT;100.0;(AGly)strA;aminoside
GMGC10.001_366_532.STRA;CARD;99.88;APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.;aminoside
GMGC10.001_366_532.STRA;NCBI;99.88;aminoglycoside O-phosphotransferase APH(3'')-Ib;aminoside
GMGC10.001_366_532.STRA;ResFinder;100.0;aph(3'')-Ib;aminoside
GMGC10.001_384_115.CRP;CARD;99.68;emrE;Multidrug_efflux
GMGC10.001_414_797.ILES;CARD;81.25;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
GMGC10.001_459_494.DDL;ResFinderFG;88.13;"D-alanine--D-alanine ligase""|KX127225.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_473_243.DDL;ResFinderFG;84.74;"D-alanine--D-alanine ligase B""|KX125614.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_474_482.FOLA;ResFinderFG;83.2;"Dihydrofolate reductase""|KX127078.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.001_490_392.FOLA;ResFinderFG;85.37;"Dihydrofolate reductase""|KX127078.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.001_589_018.DDL;ResFinderFG;88.75;"D-alanine--D-alanine ligase A""|KX125732.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_598_106.FOLA;ResFinderFG;96.32;"Dihydrofolate reductase""|KX125483.1|newborn_gut|TMP";Sulfonamide/trimethoprim
GMGC10.001_605_977.FOLA;ResFinderFG;94.64;"Dihydrofolate reductase type 3""|KF628329.1|pediatric_fecal_sample|TMP";Sulfonamide/trimethoprim
GMGC10.001_735_830.DDL;ResFinderFG;85.96;"D-alanine--D-alanine ligase""|KX127173.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_760_058.UNKNOWN;ARG-ANNOT;93.22;(MLS)Mef(En2);MLS
GMGC10.001_760_058.UNKNOWN;CARD;93.22;NBU2-encoded resistance gene. An MefE homolog in Bacteroides species. Macrolide efflux MFS transporter;MLS
GMGC10.001_760_058.UNKNOWN;NCBI;93.22;macrolide efflux MFS transporter Mef(En2);MLS
GMGC10.001_771_357.DDL;ResFinderFG;80.72;"D-alanine--D-alanine ligase""|KX125851.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.001_872_886.FOLA;ResFinderFG;85.69;"Dihydrofolate reductase""|KX125483.1|newborn_gut|TMP";Sulfonamide/trimethoprim
GMGC10.001_897_442.FOLA;ResFinderFG;99.79;"Dihydrofolate reductase""|KX125928.1|human_gut|SXT";Sulfonamide/trimethoprim
GMGC10.001_913_016.UNKNOWN;ARG-ANNOT;92.14;(MLS)msr(D);MLS
GMGC10.001_913_016.UNKNOWN;NCBI;92.5;ABC-F type ribosomal protection protein Msr(D);MLS
GMGC10.001_913_016.UNKNOWN;ResFinder;92.5;msr(D);MLS
GMGC10.001_950_536.FOLA;ResFinderFG;95.89;"Dihydrofolate reductase""|KX126575.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.001_965_233.UNKNOWN;ARG-ANNOT;99.06;(AGly)aac3-I;aminoside
GMGC10.001_965_233.UNKNOWN;CARD;98.92;AAC(3)-Ia is an aminoglycoside acetyltransferase encoded by plasmids transposons integrons in S. marcescens E. coli Acinetobacter baumannii Klebsiella pneumoniae Klebsiella oxytoca P. aeruginosa Salmonella typhimurium and Proteus mirabilis;aminoside
GMGC10.001_965_233.UNKNOWN;NCBI;100.0;aminoglycoside N-acetyltransferase AAC(3)-Ia;aminoside
GMGC10.001_965_233.UNKNOWN;ResFinder;99.06;aac(3)-Ia;aminoside
GMGC10.001_981_819.MEXF;CARD;99.97;mexF;Multidrug_efflux
GMGC10.001_983_519.AADA;ARG-ANNOT;100.0;(AGly)aadA6;aminoside
GMGC10.002_004_514.AADA;ARG-ANNOT;99.62;(AGly)aadA4;aminoside
GMGC10.002_049_105.VEXA;CARD;99.19;mexH;Multidrug_efflux
GMGC10.002_062_288.NEO;ARG-ANNOT;99.5;(AGly)aphA15;aminoside
GMGC10.002_062_288.NEO;CARD;99.5;Expression of cloned aphA15 gene in Escherichia coli reduced the susceptibility to kanamycin and neomycin as well as to amikacin netilmicin and streptomycin;aminoside
GMGC10.002_062_288.NEO;ResFinder;100.0;aph(3')-XV;aminoside
GMGC10.002_067_261.QSEC;CARD;99.36;basS;peptide
GMGC10.002_068_128.UNKNOWN;CARD;99.72;AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii;aminoside
GMGC10.002_068_128.UNKNOWN;NCBI;99.82;AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase;aminoside
GMGC10.002_068_128.UNKNOWN;ResFinderFG;99.32;"Aminoglycoside N(6')-acetyltransferase type 1""|GQ342986.1|human fecal matter|AMK";aminoside
GMGC10.002_068_661.UNKNOWN;CARD;99.75;An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin rendering it ineffective as an antibacterial drug.;fosfomycin
GMGC10.002_068_661.UNKNOWN;NCBI;99.27;FosA family fosfomycin resistance glutathione transferase;fosfomycin
GMGC10.002_068_661.UNKNOWN;ResFinder;99.27;fosA;fosfomycin
GMGC10.002_070_933.VEXA;CARD;99.79;mexH;Multidrug_efflux
GMGC10.002_072_333.VEXA;CARD;99.91;mexH;Multidrug_efflux
GMGC10.002_072_504.YBXI;ARG-ANNOT;99.49;(Bla)blaOXA-50;blactamase
GMGC10.002_072_504.YBXI;CARD;99.49;Assigned by Lahey's list of beta-lactamases no accessions or other information available;blactamase
GMGC10.002_072_504.YBXI;NCBI;99.87;OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396;blactamase
GMGC10.002_072_504.YBXI;ResFinder;99.87;blaOXA-396;blactamase
GMGC10.002_072_838.NEO;ARG-ANNOT;97.89;(AGly)aph(3'')-IIb;aminoside
GMGC10.002_072_838.NEO;CARD;97.89;APH(3')-IIb is a chromosomal-encoded aminoglycoside phosphotransferase in P. aeruginosa;aminoside
GMGC10.002_072_838.NEO;NCBI;99.38;aminoglycoside O-phosphotransferase APH(3')-IIb;aminoside
GMGC10.002_072_838.NEO;ResFinder;99.38;aph(3')-IIb;aminoside
GMGC10.002_075_775.CRP;CARD;87.99;emrE;Multidrug_efflux
GMGC10.002_076_563.BMUL_3932;CARD;99.59;OpmD;Multidrug_efflux
GMGC10.002_088_519.DDL;ResFinderFG;99.51;"D-alanine--D-alanine ligase B""|KF628621.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.002_117_590.UNKNOWN;ARG-ANNOT;95.5;(MLS)msr(D);MLS
GMGC10.002_117_590.UNKNOWN;NCBI;95.78;ABC-F type ribosomal protection protein Msr(D);MLS
GMGC10.002_117_590.UNKNOWN;ResFinder;95.78;msr(D);MLS
GMGC10.002_236_046.TETR;ARG-ANNOT;90.77;(Tet)tetR;cycline
GMGC10.002_236_046.TETR;ResFinderFG;91.02;"Tetracycline repressor protein class A from transposon 1721""|GQ343144.1|human fecal matter|MIN";cycline
GMGC10.002_269_981.CRP;CARD;88.31;emrE;Multidrug_efflux
GMGC10.002_278_096.UNKNOWN;CARD;99.17;AcrB;Multidrug_efflux
GMGC10.002_282_021.FOSB;ARG-ANNOT;100.0;(Fcyn)FosA4;fosfomycin
GMGC10.002_282_021.FOSB;CARD;100.0;fosA4 is an enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.;fosfomycin
GMGC10.002_282_021.FOSB;NCBI;100.0;fosfomycin resistance glutathione transferase FosA4;fosfomycin
GMGC10.002_282_021.FOSB;ResFinder;91.37;fosA3;fosfomycin
GMGC10.002_305_685.RV0906;ARG-ANNOT;89.39;(Bla)BlaA1;blactamase
GMGC10.002_305_691.TETX;ARG-ANNOT;87.23;(Tet)tetX;cycline
GMGC10.002_305_691.TETX;CARD;100.0;A tetracyline resistance gene located on an approximately 300-kb plasmid designated p47AB. It inactivates all tetracyclines including tigecycline eravacycline and omadacycline.Adjacent to insertion sequence ISVsa3 on the conjugative plasmid.;cycline
GMGC10.002_305_691.TETX;NCBI;100.0;tetracycline-inactivating monooxygenase Tet(X);cycline
GMGC10.002_305_691.TETX;ResFinder;87.32;tet(X);cycline
GMGC10.002_310_325.CRP;CARD;87.99;emrE;Multidrug_efflux
GMGC10.002_321_817.CRP;CARD;94.77;emrE;Multidrug_efflux
GMGC10.002_332_978.BMUL_5987;CARD;97.91;Expression of abaF in E. coli resulted in increased resistance to fosfomycin.;fosfomycin
GMGC10.002_342_019.CRP;CARD;99.53;emrE;Multidrug_efflux
GMGC10.002_347_984.CRP;CARD;89.73;emrE;Multidrug_efflux
GMGC10.002_367_614.EVGS;CARD;95.8;EvgS_reg;Multidrug_efflux
GMGC10.002_375_744.QNR;CARD;100.0;QnrA2 is a plasmid-mediated quinolone resistance protein found in Klebsiella oxytoca;quinolone
GMGC10.002_375_744.QNR;NCBI;100.0;quinolone resistance pentapeptide repeat protein QnrA2;quinolone
GMGC10.002_375_744.QNR;ResFinder;100.0;qnrA2;quinolone
GMGC10.002_395_947.EPTA;ARG-ANNOT;99.88;(Col)mcr-3.27;peptide
GMGC10.002_395_947.EPTA;CARD;96.61;An MCR-3 phosphoethanolamine transferase and polymyxin resistance gene variant identified in Aeromonas.;peptide
GMGC10.002_395_947.EPTA;NCBI;99.88;phosphoethanolamine--lipid A transferase MCR-3.27;peptide
GMGC10.002_395_947.EPTA;ResFinder;99.81;mcr-3.15;peptide
GMGC10.002_398_474.ACRB;CARD;85.13;AcrB;Multidrug_efflux
GMGC10.002_425_308.FOLA;CARD;100.0;dfrA7 is an integron-encoded dihydrofolate reductase found in Escherichia coli;Sulfonamide/trimethoprim
GMGC10.002_425_308.FOLA;NCBI;100.0;trimethoprim-resistant dihydrofolate reductase DfrA7;Sulfonamide/trimethoprim
GMGC10.002_425_308.FOLA;ResFinder;100.0;dfrA7;Sulfonamide/trimethoprim
GMGC10.002_443_821.CRP;CARD;87.84;emrE;Multidrug_efflux
GMGC10.002_470_057.TETA;ARG-ANNOT;100.0;(Tet)tetE;cycline
GMGC10.002_470_057.TETA;CARD;95.28;TetE is a tetracycline efflux pump found in many Gram-negative bacteria especially those in water environments. The gene is found on large plasmids.;cycline
GMGC10.002_470_057.TETA;NCBI;100.0;tetracycline efflux MFS transporter Tet(E);cycline
GMGC10.002_470_057.TETA;ResFinder;100.0;tet(E);cycline
GMGC10.002_470_057.TETA;ResFinderFG;99.92;"Tetracycline resistance protein%2C class B""|KU544465.1|sewage|TGC";cycline
GMGC10.002_473_343.UNKNOWN;ARG-ANNOT;93.38;(Bla)blaOXA-12;blactamase
GMGC10.002_473_343.UNKNOWN;CARD;93.38;OXA-12 is a beta-lactamase found in Aeromonas jandaei;blactamase
GMGC10.002_473_343.UNKNOWN;ResFinder;91.68;ampS;blactamase
GMGC10.002_473_343.UNKNOWN;ResFinderFG;93.27;"Beta-lactamase OXA-18""|KU544742.1|sewage|PIP";blactamase
GMGC10.002_525_975.OXA;ARG-ANNOT;92.96;(Bla)blaOXA-12;blactamase
GMGC10.002_525_975.OXA;CARD;92.96;OXA-12 is a beta-lactamase found in Aeromonas jandaei;blactamase
GMGC10.002_525_975.OXA;ResFinder;95.22;ampS;blactamase
GMGC10.002_525_975.OXA;ResFinderFG;93.8;"Beta-lactamase OXA-18""|KU544742.1|sewage|PIP";blactamase
GMGC10.002_573_592.CRP;CARD;87.84;emrE;Multidrug_efflux
GMGC10.002_584_830.CRP;CARD;87.84;emrE;Multidrug_efflux
GMGC10.002_591_786.MDTI;CARD;99.39;KpnF;Multidrug_efflux
GMGC10.002_715_033.MDTB;CARD;80.51;MdtB;Multidrug_efflux
GMGC10.002_729_207.CRP;CARD;87.99;emrE;Multidrug_efflux
GMGC10.002_743_408.YBXI;ARG-ANNOT;80.38;(Bla)blaOXA-228;blactamase
GMGC10.002_743_408.YBXI;CARD;100.0;OXA-274 is a beta-lactamase found in Acinetobacter spp.;blactamase
GMGC10.002_743_408.YBXI;NCBI;100.0;class D beta-lactamase OXA-274;blactamase
GMGC10.002_743_408.YBXI;ResFinder;100.0;blaOXA-274;blactamase
GMGC10.002_798_205.SMVA;CARD;89.68;AmvA has 14 alpha-helical transmembrane segments qualifying it as a member of the DHA2 transporter family of the major facilitator superfamily (MFS). When AmvA was expressed in E. coli  the cells had at least four-fold decreased susceptibility to erythromycin acridine orange acriflavine deoxycholate and methyl viologen. AmvA from the AC0037 strain of A. baumannii was tested.;MLS
GMGC10.002_886_189.CRP;CARD;99.37;emrE;Multidrug_efflux
GMGC10.002_897_435.TETP;ARG-ANNOT;98.75;(Tet)tetM;cycline
GMGC10.002_897_435.TETP;CARD;98.7;TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.;cycline
GMGC10.002_897_435.TETP;NCBI;99.95;tetracycline resistance ribosomal protection protein Tet(M);cycline
GMGC10.002_897_435.TETP;ResFinder;98.7;tet(M);cycline
GMGC10.002_897_435.TETP;ResFinderFG;99.11;"tetracycline resistance ribosomal protection protein Tet(M)""|KU606656.1|Preterm_infant_stool|TET";cycline
GMGC10.002_915_996.ILES;CARD;83.18;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
GMGC10.002_952_607.CRP;CARD;87.84;emrE;Multidrug_efflux
GMGC10.002_959_434.CRP;CARD;99.68;emrE;Multidrug_efflux
GMGC10.002_998_033.CRP;CARD;99.05;emrE;Multidrug_efflux
GMGC10.003_009_923.MDTC;CARD;97.43;MdtC;Multidrug_efflux
GMGC10.003_028_303.AMPH;ARG-ANNOT;96.09;(Bla)blaADC-12;blactamase
GMGC10.003_028_303.AMPH;CARD;99.74;ADC-43 is a beta-lactamase found in Acinetobacter pittii.;blactamase
GMGC10.003_028_303.AMPH;NCBI;99.74;class C extended-spectrum beta-lactamase ADC-43;blactamase
GMGC10.003_028_303.AMPH;ResFinder;92.1;blaADC-25;blactamase
GMGC10.003_028_303.AMPH;ResFinderFG;88.19;"Beta-lactamase""|MG586041.1|antibiotics_polluted_stream_sediment|AMP";blactamase
GMGC10.003_038_248.ENVR;CARD;100.0;AcrS_reg;Multidrug_efflux
GMGC10.003_324_132.CRP;CARD;87.68;emrE;Multidrug_efflux
GMGC10.003_338_964.RPOB;CARD;87.23;Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF.;rifampicin
GMGC10.003_477_904.MEXF;CARD;92.54;mexF;Multidrug_efflux
GMGC10.003_501_784.FOLA;ResFinderFG;84.55;"Dihydrofolate reductase""|KX128322.1|newborn_gut|TMP";Sulfonamide/trimethoprim
GMGC10.003_502_471.DDL;ResFinderFG;83.33;"D-alanine--D-alanine ligase""|KF627148.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.003_515_008.OPRM;CARD;99.93;OprM;Multidrug_efflux
GMGC10.003_527_394.URAA;CARD;99.0;EmrE is a small multidrug transporter that functions as a homodimer and that couples the efflux of small polyaromatic cations from the cell with the import of protons down an electrochemical gradient. Confers resistance to tetraphenylphosphonium methyl viologen gentamicin kanamycin and neomycin.;aminoside
GMGC10.003_538_368.MEXE;CARD;97.33;MexE;Multidrug_efflux
GMGC10.003_559_123.CRP;CARD;87.05;emrE;Multidrug_efflux
GMGC10.003_632_590.CRP;CARD;86.73;emrE;Multidrug_efflux
GMGC10.003_667_864.CRP;CARD;86.41;emrE;Multidrug_efflux
GMGC10.003_669_319.CRP;CARD;86.26;emrE;Multidrug_efflux
GMGC10.003_675_502.CRP;CARD;86.89;emrE;Multidrug_efflux
GMGC10.003_686_009.AMPC;ARG-ANNOT;93.98;(Bla)blaACT-4;blactamase
GMGC10.003_686_009.AMPC;CARD;93.88;ACT-4 is a beta-lactamase. From the Lahey list of ACT beta-lactamases.;blactamase
GMGC10.003_686_009.AMPC;NCBI;93.88;cephalosporin-hydrolyzing class C beta-lactamase ACT-4;blactamase
GMGC10.003_686_009.AMPC;ResFinder;93.98;blaACT-4;blactamase
GMGC10.003_686_009.AMPC;ResFinderFG;93.35;"Beta-lactamase""|KF630159.1|pediatric_fecal_sample|PEN";blactamase
GMGC10.003_686_042.MEXF;ARG-ANNOT;89.44;(Flq)OqxBgb;Multidrug_efflux
GMGC10.003_686_042.MEXF;CARD;89.44;RND;Multidrug_efflux
GMGC10.003_686_042.MEXF;NCBI;90.07;multidrug efflux RND transporter permease subunit OqxB9;Multidrug_efflux
GMGC10.003_686_042.MEXF;ResFinder;89.44;oqxB;Multidrug_efflux
GMGC10.003_686_337.CPXA;CARD;82.44;CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.;aminoside
GMGC10.003_686_410.CRP;CARD;89.26;emrE;Multidrug_efflux
GMGC10.003_689_877.CRP;CARD;86.41;emrE;Multidrug_efflux
GMGC10.003_710_263.CRP;CARD;86.26;emrE;Multidrug_efflux
GMGC10.003_718_203.CRP;CARD;87.84;emrE;Multidrug_efflux
GMGC10.003_757_209.CRP;CARD;87.68;emrE;Multidrug_efflux
GMGC10.003_774_957.MRDA;ARG-ANNOT;82.28;(Bla)Penicillin_Binding_Protein_Ecoli;blactam_non_enz
GMGC10.003_775_085.TOLC;CARD;80.03;TolC;Multidrug_efflux
GMGC10.003_783_624.ACRD;CARD;81.56;AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.;aminoside
GMGC10.003_787_268.CRP;CARD;99.05;emrE;Multidrug_efflux
GMGC10.003_803_236.MDTB;CARD;81.12;MdtB;Multidrug_efflux
